nama_kabkota,value,lat,lon
Kab. Simeulue,69.280037,2.62818,96.0898
Kab. Aceh Singkil,68.576192,2.439,97.9244
Kab. Aceh Selatan,69.973966,3.25638,97.213
Kab. Aceh Tenggara,71.595074,3.59968,97.6619
Kab. Aceh Timur,70.545995,4.56983,97.7723
Kab. Aceh Tengah,73.693829,4.56693,96.8147
Kab. Aceh Barat,70.785262,4.49032,96.041
Kab. Aceh Besar,73.318207,5.35887,95.5144
Kab. Pidie,71.924794,5.1152,95.9574
Kab. Bireuen,73.074698,5.081,96.5974
Kab. Aceh Utara,72.464539,4.99764,97.1454
Kab. Aceh Barat Daya,70.286047,3.78325,96.9143
Kab. Gayo Lues,67.860058,3.97798,97.323
Kab. Aceh Tamiang,70.787418,4.20756,98.0029
Kab. Nagan Raya,69.180832,4.15452,96.5184
Kab. Aceh Jaya,69.625016,4.8271,95.6491
Kab. Bener Meriah,70.978527,4.76923,96.9901
Kab. Pidie Jaya,72.382141,5.13828,96.2004
Kota Banda Aceh,77.449931,5.54215,95.3431
Kota Sabang,75.977556,5.83886,95.2953
Kota Langsa,73.850156,4.48157,97.9214
Kota Lhokseumawe,76.100293,5.12941,97.0654
Kota Subulussalam,69.260089,2.65359,97.9101
Kab. Nias,68.664244,1.12946,97.7191
Kab. Mandailing Natal,70.604418,0.716284,99.4183
Kab. Tapanuli Selatan,74.017599,1.52419,99.2215
Kab. Tapanuli Tengah,71.205832,1.86878,98.6094
Kab. Tapanuli Utara,74.308001,2.0633,98.8284
Kab. Toba Samosir,76.547743,2.50027,99.0042
Kab. Labuhan Batu,74.033643,2.14783,99.9218
Kab. Asahan,72.544166,2.98305,99.531
Kab. Simalungun,73.497262,2.95304,99.2713
Kab. Dairi,72.862254,2.82712,98.2783
Kab. Karo,75.33674,3.09635,98.2514
Kab. Deli Serdang,75.282238,3.46231,98.888
Kab. Langkat,73.177298,3.766,98.2307
Kab. Nias Selatan,67.149983,0.786682,97.7166
Kab. Humbang Hasundutan,71.93651,2.23062,98.5734
Kab. Pakpak Bharat,70.799447,2.55478,98.2762
Kab. Samosir,73.696813,2.50894,98.6264
Kab. Serdang Bedagai,73.254838,3.34975,99.0295
Kab. Batu Bara,71.615209,3.23175,99.5003
Kab. Padang Lawas Utara,72.522156,1.61899,99.6822
Kab. Padang Lawas,71.977539,1.2403,99.9102
Kab. Labuhan Batu Selatan,73.838999,1.8468,100.077
Kab. Labuhan Batu Utara,73.451387,2.42728,99.7271
Kab. Nias Utara,67.752578,1.30584,97.3029
Kab. Nias Barat,66.460718,1.01902,97.5242
Kota Sibolga,75.081985,1.72715,98.7986
Kota Tanjung Balai,74.138528,2.94164,99.7784
Kota Pematang Siantar,77.512313,2.9676,99.0514
Kota Tebing Tinggi,76.491115,3.33108,99.1414
Kota Medan,77.361863,3.6686,98.6712
Kota Binjai,76.414749,3.61904,98.4846
Kota Padangsidimpuan,75.210501,1.30299,99.2289
Kota Gunungsitoli,71.672986,1.26105,97.5949
Kab. Kepulauan Mentawai,68.751858,-1.34643,98.9409
Kab. Pesisir Selatan,71.145897,-1.74602,100.844
Kab. Solok,70.92729,-0.933584,100.83
Kab. Sijunjung,70.921644,-0.650064,101.147
Kab. Tanah Datar,74.002619,-0.470079,100.582
Kab. Padang Pariaman,71.452902,-0.59275,100.257
Kab. Agam,73.280758,-0.266132,100.15
Kab. Lima Puluh Kota,71.222123,-0.000848,100.563
Kab. Pasaman,72.707164,0.39956,100.083
Kab. Solok Selatan,68.982458,-1.35893,101.276
Kab. Dharmas Raya,69.126036,-1.00085,101.342
Kab. Pasaman Barat,70.183033,0.186779,99.5962
Kota Padang,77.810503,-1.00273,100.451
Kota Solok,75.646377,-0.759189,100.599
Kota Sawah Lunto,74.962997,-0.677574,100.788
Kota Padang Panjang,77.445221,-0.453913,100.423
Kota Bukittinggi,78.256279,-0.271348,100.372
Kota Payakumbuh,75.811903,-0.239505,100.641
Kota Pariaman,74.464142,-0.626203,100.145
Kab. Kuantan Singingi,73.699466,-0.491978,101.47
Kab. Indragiri Hulu,74.177395,-0.522681,102.243
Kab. Indragiri Hilir,75.240602,-0.287854,103.183
Kab. Pelalawan,73.179105,0.124485,102.427
Kab. Siak,76.458218,0.761717,101.846
Kab. Kampar,74.433112,0.27116,101.089
Kab. Rokan Hulu,72.664348,0.821098,100.506
Kab. Bengkalis,75.106907,1.24641,101.523
Kab. Rokan Hilir,72.432639,1.86948,100.838
Kab. Kepulauan Meranti,70.62358,0.907379,102.726
Kota Pekanbaru,78.273881,0.557415,101.462
Kota Dumai,77.752024,1.74798,101.264
Kab. Kerinci,74.257278,-2.06012,101.478
Kab. Merangin,71.954372,-2.20381,102.056
Kab. Sarolangun,72.464543,-2.33009,102.649
Kab. Batang Hari,72.868059,-1.85729,103.015
Kab. Muaro Jambi,72.686982,-1.64549,103.746
Kab. Tanjung Jabung Timur,71.493356,-1.30035,103.98
Kab. Tanjung Jabung Barat,72.785679,-1.12062,103.142
Kab. Tebo,71.672523,-1.39386,102.317
Kab. Bungo,71.952579,-1.50943,101.958
Kota Jambi,76.065162,-1.62225,103.641
Kota Sungai Penuh,76.758827,-2.09008,101.339
Kab. Ogan Komering Ulu,73.135297,-4.01787,104.146
Kab. Ogan Komering Ilir,70.614128,-3.32657,105.198
Kab. Muara Enim,70.805599,-3.71069,104.044
Kab. Lahat,71.299158,-3.8887,103.196
Kab. Musi Rawas,67.886006,-2.95853,102.861
Kab. Musi Banyuasin,71.807283,-2.44468,104.293
Kab. Banyu Asin,69.775256,-2.41036,104.787
Kab. Ogan Komering Ulu Selatan,71.41587,-4.56882,103.97
Kab. Ogan Komering Ulu Timur,69.682944,-4.08204,104.568
Kab. Ogan Ilir,69.508781,-3.42967,104.575
Kab. Empat Lawang,68.614939,-3.72128,102.917
Kota Palembang,76.23494,-3.0036,104.728
Kota Prabumulih,74.270021,-3.49761,104.22
Kota Pagar Alam,73.191369,-4.14946,103.34
Kota Lubuklinggau,70.556324,-3.25947,102.821
Kab. Bengkulu Selatan,72.319167,-4.31242,103.031
Kab. Rejang Lebong,71.086357,-3.44252,102.687
Kab. Bengkulu Utara,71.499963,-3.0694,101.834
Kab. Kaur,69.992936,-4.59173,103.427
Kab. Seluma,66.856132,-4.07019,102.72
Kab. Mukomuko,70.553597,-2.73128,101.448
Kab. Lebong,70.048135,-3.05177,102.219
Kab. Kepahiang,68.077087,-3.64761,102.658
Kab. Bengkulu Tengah,68.513209,-3.67487,102.424
Kota Bengkulu,77.617016,-3.85375,102.297
Kab. Lampung Barat,69.278427,-5.36361,104.125
Kab. Tanggamus,71.309103,-5.51669,104.76
Kab. Lampung Selatan,70.06181,-5.51469,105.379
Kab. Lampung Timur,70.732056,-5.11625,105.586
Kab. Lampung Tengah,70.74043,-4.86672,105.176
Kab. Lampung Utara,70.357964,-4.83168,104.814
Kab. Way Kanan,69.924997,-4.57554,104.648
Kab. Tulangbawang,70.337951,-4.54332,105.097
Kab. Pesawaran,69.768274,-5.4532,105.098
Kab. Pringsewu,71.974575,-5.36191,104.927
Kab. Mesuji,67.491579,-4.03268,105.413
Kab. Tulangbawang Barat,68.981789,-4.27498,105.423
Kota Bandar Lampung,75.698121,-5.42396,105.251
Kota Metro,76.24773,-5.11165,105.309
Kab. Bangka,72.497405,-1.93481,105.952
Kab. Belitung,73.360851,-2.88028,107.753
Kab. Bangka Barat,70.066886,-1.83743,105.451
Kab. Bangka Tengah,71.215183,-2.49897,106.335
Kab. Bangka Selatan,66.968589,-2.79221,106.319
Kab. Belitung Timur,71.955349,-2.8935,107.874
Kota Pangkal Pinang,75.827772,-2.22588,106.128
Kab. Karimun,73.637435,0.768402,103.426
Kab. Bintan,74.44194,1.01851,104.574
Kab. Natuna,70.562152,3.93073,108.188
Kab. Lingga,71.34849,-0.155833,104.713
Kab. Kepulauan Anambas,68.596025,2.93874,105.76
Kota Batam,77.79658,1.08657,104.023
Kota Tanjung Pinang,74.594483,1.04902,104.49
Kab. Kepulauan Seribu,70.817152,-5.77769,106.504
Kab. Kodya Jakarta Selatan,79.468043,-6.28461,106.794
Kab. Kodya Jakarta Timur,78.953214,-6.26223,106.907
Kab. Kodya Jakarta Pusat,78.411723,-6.18367,106.836
Kab. Kodya Jakarta Barat,78.842127,-6.15971,106.755
Kab. Kodya Jakarta Utara,77.626708,-6.1354,106.841
Kab. Bogor,72.163365,-6.54412,107.002
Kab. Sukabumi,70.65779,-7.07493,106.717
Kab. Cianjur,69.135513,-7.05156,107.126
Kab. Bandung,74.053461,-7.07311,107.592
Kab. Garut,71.360478,-7.3425,107.778
Kab. Tasikmalaya,72.001874,-7.42885,108.164
Kab. Ciamis,71.373572,-7.4369,108.486
Kab. Kuningan,70.888225,-6.98826,108.591
Kab. Cirebon,68.893884,-6.75547,108.576
Kab. Majalengka,70.25284,-6.81747,108.228
Kab. Sumedang,72.420174,-6.81018,107.979
Kab. Indramayu,67.748486,-6.44806,108.198
Kab. Subang,71.137457,-6.4939,107.726
Kab. Purwakarta,71.17021,-6.58964,107.431
