kode_provinsi,nama_provinsi,persen_tidak_lulus_SD
id-ac,Prov. Nanggroe Aceh Darussalam,0.057909479
id-su,Prov. Sumatera Utara,0.06588406
id-sb,Prov. Sumatera Barat,0.113572903
id-ri,Prov. Riau,0.067835226
id-ja,Prov. Jambi,0.095827816
id-sl,Prov. Sumatera Selatan,0.093363285
id-be,Prov. Bengkulu,0.100324812
id-1024,Prov. Lampung,0.089737134
id-bb,Prov. Kepulauan Bangka Belitung,0.135991824
id-kr,Prov. Kepulauan Riau,0.063393269
id-jk,Prov. DKI Jakarta,0.028034727
id-jr,Prov. Jawa Barat,0.060651897
id-jt,Prov. Jawa Tengah,0.088775694
id-yo,Prov. D I Yogyakarta,0.061425899
id-ji,Prov. Jawa Timur,0.078627683
id-bt,Prov. Banten,0.056118457
id-ba,Prov. Bali,0.057469133
id-nb,Prov. Nusa Tenggara Barat,0.09978538
id-nt,Prov. Nusa Tenggara Timur,0.135726046
id-kb,Prov. Kalimantan Barat,0.150679838
id-kt,Prov. Kalimantan Tengah,0.0923833
id-ks,Prov. Kalimantan Selatan,0.122950568
id-ki,Prov. Kalimantan Timur,0.071453696
id-sw,Prov. Sulawesi Utara,0.100913975
id-st,Prov. Sulawesi Tengah,0.096643799
id-se,Prov. Sulawesi Selatan,0.091206919
id-sg,Prov. Sulawesi Tenggara,0.099720109
id-go,Prov. Gorontalo,0.26140978
id-sr,Prov. Sulawesi Barat,0.137101605
id-ma,Prov. Maluku,0.076589917
id-la,Prov. Maluku Utara,0.098605571
id-ib,Prov. Papua Barat,0.081479839
id-pa,Prov. Papua,0.107148489
