kode_provinsi,nama_provinsi,persen_lulus_SMP
id-ac,Prov. Nanggroe Aceh Darussalam,0.261715757
id-su,Prov. Sumatera Utara,0.260054206
id-sb,Prov. Sumatera Barat,0.231099087
id-ri,Prov. Riau,0.244544227
id-ja,Prov. Jambi,0.235595971
id-sl,Prov. Sumatera Selatan,0.217622961
id-be,Prov. Bengkulu,0.233462407
id-1024,Prov. Lampung,0.25902193
id-bb,Prov. Kepulauan Bangka Belitung,0.192243604
id-kr,Prov. Kepulauan Riau,0.186415026
id-jk,Prov. DKI Jakarta,0.223983346
id-jr,Prov. Jawa Barat,0.211784392
id-jt,Prov. Jawa Tengah,0.231842481
id-yo,Prov. D I Yogyakarta,0.212560426
id-ji,Prov. Jawa Timur,0.231750504
id-bt,Prov. Banten,0.230497518
id-ba,Prov. Bali,0.193894825
id-nb,Prov. Nusa Tenggara Barat,0.235824191
id-nt,Prov. Nusa Tenggara Timur,0.173163615
id-kb,Prov. Kalimantan Barat,0.208610115
id-kt,Prov. Kalimantan Tengah,0.232885435
id-ks,Prov. Kalimantan Selatan,0.218671198
id-ki,Prov. Kalimantan Timur,0.227065715
id-sw,Prov. Sulawesi Utara,0.235610496
id-st,Prov. Sulawesi Tengah,0.2149708
id-se,Prov. Sulawesi Selatan,0.209622246
id-sg,Prov. Sulawesi Tenggara,0.22977536
id-go,Prov. Gorontalo,0.15883187
id-sr,Prov. Sulawesi Barat,0.203813391
id-ma,Prov. Maluku,0.231213914
id-la,Prov. Maluku Utara,0.228111442
id-ib,Prov. Papua Barat,0.238733951
id-pa,Prov. Papua,0.231045346
