nama_kabkota,value,lat,lon
Kab. Simeulue,98.661841,2.62818,96.0898
Kab. Aceh Singkil,96.240004,2.439,97.9244
Kab. Aceh Selatan,96.528236,3.25638,97.213
Kab. Aceh Tenggara,97.953188,3.59968,97.6619
Kab. Aceh Timur,98.214459,4.56983,97.7723
Kab. Aceh Tengah,98.59504,4.56693,96.8147
Kab. Aceh Barat,94.534465,4.49032,96.041
Kab. Aceh Besar,96.961602,5.35887,95.5144
Kab. Pidie,95.908027,5.1152,95.9574
Kab. Bireuen,98.473119,5.081,96.5974
Kab. Aceh Utara,97.805477,4.99764,97.1454
Kab. Aceh Barat Daya,96.338382,3.78325,96.9143
Kab. Gayo Lues,87.268435,3.97798,97.323
Kab. Aceh Tamiang,98.270288,4.20756,98.0029
Kab. Nagan Raya,89.853962,4.15452,96.5184
Kab. Aceh Jaya,93.988361,4.8271,95.6491
Kab. Bener Meriah,98.49822,4.76923,96.9901
Kab. Pidie Jaya,95.45148,5.13828,96.2004
Kota Banda Aceh,99.155794,5.54215,95.3431
Kota Sabang,98.994842,5.83886,95.2953
Kota Langsa,99.199438,4.48157,97.9214
Kota Lhokseumawe,99.622215,5.12941,97.0654
Kota Subulussalam,96.535026,2.65359,97.9101
Kab. Nias,90.444379,1.12946,97.7191
Kab. Mandailing Natal,99.33,0.716284,99.4183
Kab. Tapanuli Selatan,99.81,1.52419,99.2215
Kab. Tapanuli Tengah,95.78309,1.86878,98.6094
Kab. Tapanuli Utara,98.590104,2.0633,98.8284
Kab. Toba Samosir,98.345598,2.50027,99.0042
Kab. Labuhan Batu,97.950875,2.14783,99.9218
Kab. Asahan,96.896294,2.98305,99.531
Kab. Simalungun,97.502703,2.95304,99.2713
Kab. Dairi,98.090952,2.82712,98.2783
Kab. Karo,98.685767,3.09635,98.2514
Kab. Deli Serdang,98.52782,3.46231,98.888
Kab. Langkat,96.923607,3.766,98.2307
Kab. Nias Selatan,85.201896,0.786682,97.7166
Kab. Humbang Hasundutan,98.207284,2.23062,98.5734
Kab. Pakpak Bharat,96.519395,2.55478,98.2762
Kab. Samosir,96.605707,2.50894,98.6264
Kab. Serdang Bedagai,97.70059,3.34975,99.0295
Kab. Batu Bara,95.253983,3.23175,99.5003
Kab. Padang Lawas Utara,99.2066,1.61899,99.6822
Kab. Padang Lawas,99.650139,1.2403,99.9102
Kab. Labuhan Batu Selatan,98.835956,1.8468,100.077
Kab. Labuhan Batu Utara,98.166039,2.42728,99.7271
Kab. Nias Utara,89.19,1.30584,97.3029
Kab. Nias Barat,84.3,1.01902,97.5242
Kota Sibolga,99.294221,1.72715,98.7986
Kota Tanjung Balai,98.985128,2.94164,99.7784
Kota Pematang Siantar,99.453127,2.9676,99.0514
Kota Tebing Tinggi,98.700532,3.33108,99.1414
Kota Medan,99.357458,3.6686,98.6712
Kota Binjai,99.190001,3.61904,98.4846
Kota Padangsidimpuan,99.69942,1.30299,99.2289
Kota Gunungsitoli,94.75,1.26105,97.5949
Kab. Kepulauan Mentawai,93.583274,-1.34643,98.9409
Kab. Pesisir Selatan,94.92188,-1.74602,100.844
Kab. Solok,97.192459,-0.933584,100.83
Kab. Sijunjung,94.775,-0.650064,101.147
Kab. Tanah Datar,97.102942,-0.470079,100.582
Kab. Padang Pariaman,94.492545,-0.59275,100.257
Kab. Agam,97.846773,-0.266132,100.15
Kab. Lima Puluh Kota,98.8525,-0.000848,100.563
Kab. Pasaman,98.730226,0.39956,100.083
Kab. Solok Selatan,97.525612,-1.35893,101.276
Kab. Dharmas Raya,96.38195,-1.00085,101.342
Kab. Pasaman Barat,98.2,0.186779,99.5962
Kota Padang,99.493334,-1.00273,100.451
Kota Solok,98.513334,-0.759189,100.599
Kota Sawah Lunto,98.553912,-0.677574,100.788
Kota Padang Panjang,99.3,-0.453913,100.423
Kota Bukittinggi,99.924012,-0.271348,100.372
Kota Payakumbuh,99.18,-0.239505,100.641
Kota Pariaman,98.917048,-0.626203,100.145
Kab. Kuantan Singingi,97.8158,-0.491978,101.47
Kab. Indragiri Hulu,98.162676,-0.522681,102.243
Kab. Indragiri Hilir,99.061119,-0.287854,103.183
Kab. Pelalawan,98.459624,0.124485,102.427
Kab. Siak,98.564678,0.761717,101.846
Kab. Kampar,98.479348,0.27116,101.089
Kab. Rokan Hulu,98.27912,0.821098,100.506
Kab. Bengkalis,98.092034,1.24641,101.523
Kab. Rokan Hilir,97.994903,1.86948,100.838
Kab. Kepulauan Meranti,90.18,0.907379,102.726
Kota Pekanbaru,99.867388,0.557415,101.462
Kota Dumai,99.31,1.74798,101.264
Kab. Kerinci,97.23542,-2.06012,101.478
Kab. Merangin,97.471956,-2.20381,102.056
Kab. Sarolangun,94.763091,-2.33009,102.649
Kab. Batang Hari,97.574804,-1.85729,103.015
Kab. Muaro Jambi,95.974112,-1.64549,103.746
Kab. Tanjung Jabung Timur,92.427403,-1.30035,103.98
Kab. Tanjung Jabung Barat,97.916935,-1.12062,103.142
Kab. Tebo,94.920448,-1.39386,102.317
Kab. Bungo,96.164085,-1.50943,101.958
Kota Jambi,98.989235,-1.62225,103.641
Kota Sungai Penuh,97.238221,-2.09008,101.339
Kab. Ogan Komering Ulu,98.428487,-4.01787,104.146
Kab. Ogan Komering Ilir,96.5616,-3.32657,105.198
Kab. Muara Enim,98.82,-3.71069,104.044
Kab. Lahat,97.783384,-3.8887,103.196
Kab. Musi Rawas,96.518623,-2.95853,102.861
Kab. Musi Banyuasin,97.008168,-2.44468,104.293
Kab. Banyu Asin,96.46184,-2.41036,104.787
Kab. Ogan Komering Ulu Selatan,97.896036,-4.56882,103.97
Kab. Ogan Komering Ulu Timur,94.734168,-4.08204,104.568
Kab. Ogan Ilir,97.618958,-3.42967,104.575
Kab. Empat Lawang,97.783862,-3.72128,102.917
Kota Palembang,98.71214,-3.0036,104.728
Kota Prabumulih,98.661412,-3.49761,104.22
Kota Pagar Alam,98.498911,-4.14946,103.34
Kota Lubuklinggau,98.404319,-3.25947,102.821
Kab. Bengkulu Selatan,96.472095,-4.31242,103.031
Kab. Rejang Lebong,95.577875,-3.44252,102.687
Kab. Bengkulu Utara,92.417072,-3.0694,101.834
Kab. Kaur,96.057388,-4.59173,103.427
Kab. Seluma,93.904966,-4.07019,102.72
Kab. Mukomuko,94.061701,-2.73128,101.448
Kab. Lebong,95.413116,-3.05177,102.219
Kab. Kepahiang,95.89,-3.64761,102.658
Kab. Bengkulu Tengah,91.863687,-3.67487,102.424
Kota Bengkulu,99.245616,-3.85375,102.297
Kab. Lampung Barat,97.279177,-5.36361,104.125
Kab. Tanggamus,95.32477,-5.51669,104.76
Kab. Lampung Selatan,94.854375,-5.51469,105.379
Kab. Lampung Timur,93.3215,-5.11625,105.586
Kab. Lampung Tengah,93.0835,-4.86672,105.176
Kab. Lampung Utara,95.253464,-4.83168,104.814
Kab. Way Kanan,94.605195,-4.57554,104.648
Kab. Tulangbawang,93.804408,-4.54332,105.097
Kab. Pesawaran,94.406571,-5.4532,105.098
Kab. Pringsewu,94.19,-5.36191,104.927
Kab. Mesuji,92.356732,-4.03268,105.413
Kab. Tulangbawang Barat,92.484561,-4.27498,105.423
Kota Bandar Lampung,98.442792,-5.42396,105.251
Kota Metro,97.494198,-5.11165,105.309
Kab. Bangka,96.309809,-1.93481,105.952
Kab. Belitung,96.506141,-2.88028,107.753
Kab. Bangka Barat,92.86,-1.83743,105.451
Kab. Bangka Tengah,95.901242,-2.49897,106.335
Kab. Bangka Selatan,93.624497,-2.79221,106.319
Kab. Belitung Timur,96.68678,-2.8935,107.874
Kota Pangkal Pinang,98.18,-2.22588,106.128
Kab. Karimun,95.817682,0.768402,103.426
Kab. Bintan,95.086527,1.01851,104.574
Kab. Natuna,96.465131,3.93073,108.188
Kab. Lingga,91.637712,-0.155833,104.713
Kab. Kepulauan Anambas,90.0013,2.93874,105.76
Kota Batam,98.940247,1.08657,104.023
Kota Tanjung Pinang,97.311563,1.04902,104.49
Kab. Kepulauan Seribu,98.36,-5.77769,106.504
Kab. Kodya Jakarta Selatan,99.225029,-6.28461,106.794
Kab. Kodya Jakarta Timur,99.069111,-6.26223,106.907
Kab. Kodya Jakarta Pusat,99.518797,-6.18367,106.836
Kab. Kodya Jakarta Barat,98.957428,-6.15971,106.755
Kab. Kodya Jakarta Utara,99.169386,-6.1354,106.841
Kab. Bogor,95.021185,-6.54412,107.002
Kab. Sukabumi,97.328996,-7.07493,106.717
Kab. Cianjur,97.546998,-7.05156,107.126
Kab. Bandung,98.724561,-7.07311,107.592
