kode_provinsi,nama_provinsi,value
id-ac,Prov. Nanggroe Aceh Darussalam,71.7
id-su,Prov. Sumatera Utara,74.19
id-sb,Prov. Sumatera Barat,73.78
id-ri,Prov. Riau,76.07
id-ja,Prov. Jambi,72.74
id-sl,Prov. Sumatera Selatan,72.95
id-be,Prov. Bengkulu,72.92
id-1024,Prov. Lampung,71.42
id-bb,Prov. Kepulauan Bangka Belitung,72.86
id-kr,Prov. Kepulauan Riau,75.07
id-jk,Prov. DKI Jakarta,77.6
id-jr,Prov. Jawa Barat,72.29
id-jt,Prov. Jawa Tengah,72.49
id-yo,Prov. D I Yogyakarta,75.77
id-ji,Prov. Jawa Timur,71.62
id-bt,Prov. Banten,70.48
id-ba,Prov. Bali,72.28
id-nb,Prov. Nusa Tenggara Barat,65.2
id-nt,Prov. Nusa Tenggara Timur,67.26
id-kb,Prov. Kalimantan Barat,69.15
id-kt,Prov. Kalimantan Tengah,74.64
id-ks,Prov. Kalimantan Selatan,69.92
id-ki,Prov. Kalimantan Timur,75.56
id-sw,Prov. Sulawesi Utara,76.09
id-st,Prov. Sulawesi Tengah,71.14
id-se,Prov. Sulawesi Selatan,71.62
id-sg,Prov. Sulawesi Tenggara,70
id-go,Prov. Gorontalo,70.28
id-sr,Prov. Sulawesi Barat,69.64
id-ma,Prov. Maluku,71.42
id-la,Prov. Maluku Utara,69.03
id-pa,Prov. Papua,64.94
