kode_provinsi,nama_provinsi,persen_partisipasi_murni_smp
id-ac,Prov. Nanggroe Aceh Darussalam,78.58
id-su,Prov. Sumatera Utara,74.76
id-sb,Prov. Sumatera Barat,68.22
id-ri,Prov. Riau,71.36
id-ja,Prov. Jambi,66.91
id-sl,Prov. Sumatera Selatan,66.27
id-be,Prov. Bengkulu,70.39
id-1024,Prov. Lampung,69.61
id-bb,Prov. Kepulauan Bangka Belitung,53.58
id-kr,Prov. Kepulauan Riau,72.92
id-jk,Prov. DKI Jakarta,71.96
id-jr,Prov. Jawa Barat,68.43
id-jt,Prov. Jawa Tengah,45
id-yo,Prov. D I Yogyakarta,75.55
id-ji,Prov. Jawa Timur,70.17
id-bt,Prov. Banten,60.32
id-ba,Prov. Bali,67.83
id-nb,Prov. Nusa Tenggara Barat,71.73
id-nt,Prov. Nusa Tenggara Timur,51.03
id-kb,Prov. Kalimantan Barat,56.06
id-kt,Prov. Kalimantan Tengah,61.3
id-ks,Prov. Kalimantan Selatan,60.9
id-ki,Prov. Kalimantan Timur,94.14
id-sw,Prov. Sulawesi Utara,67.07
id-st,Prov. Sulawesi Tengah,60.83
id-se,Prov. Sulawesi Selatan,62.32
id-sg,Prov. Sulawesi Tenggara,67.14
id-go,Prov. Gorontalo,53.83
id-sr,Prov. Sulawesi Barat,54.24
id-ma,Prov. Maluku,71.88
id-la,Prov. Maluku Utara,66.01
id-ib,Prov. Papua Barat,50.1
id-pa,Prov. Papua,49.62
