kode_provinsi,nama_provinsi,tahun,tingkat_pendidikan,persen_angka_partisipasi_murni
11,"Prov. Nanggroe Aceh Darussalam",2003,"SD/MI",95.36
11,"Prov. Nanggroe Aceh Darussalam",2003,"SM/MA",61.63
11,"Prov. Nanggroe Aceh Darussalam",2003,"SMP/Mts",78.74
11,"Prov. Nanggroe Aceh Darussalam",2004,"SD/MI",95.88
11,"Prov. Nanggroe Aceh Darussalam",2004,"SM/MA",62.04
11,"Prov. Nanggroe Aceh Darussalam",2004,"SMP/Mts",79.98
11,"Prov. Nanggroe Aceh Darussalam",2005,"SD/MI",
11,"Prov. Nanggroe Aceh Darussalam",2005,"SM/MA",
11,"Prov. Nanggroe Aceh Darussalam",2005,"SMP/Mts",
11,"Prov. Nanggroe Aceh Darussalam",2006,"SD/MI",95.48
11,"Prov. Nanggroe Aceh Darussalam",2006,"SM/MA",57.07
11,"Prov. Nanggroe Aceh Darussalam",2006,"SMP/Mts",78.39
11,"Prov. Nanggroe Aceh Darussalam",2007,"SD/MI/Paket/A",95.75
11,"Prov. Nanggroe Aceh Darussalam",2007,"SM/SMK/MA/Paket/C",61.95
11,"Prov. Nanggroe Aceh Darussalam",2007,"SMP/Mts/Paket/B",76.44
11,"Prov. Nanggroe Aceh Darussalam",2008,"SD/MI/Paket/A",96.05
11,"Prov. Nanggroe Aceh Darussalam",2008,"SM/SMK/MA/Paket/C",62.19
11,"Prov. Nanggroe Aceh Darussalam",2008,"SMP/Mts/Paket/B",76.58
11,"Prov. Nanggroe Aceh Darussalam",2009,"SD/MI/Paket/A",96.95
11,"Prov. Nanggroe Aceh Darussalam",2009,"SM/SMK/MA/Paket/C",62.12
11,"Prov. Nanggroe Aceh Darussalam",2009,"SMP/Mts/Paket/B",77.4
11,"Prov. Nanggroe Aceh Darussalam",2010,"SD/MI/Paket/A",97.32
11,"Prov. Nanggroe Aceh Darussalam",2010,"SM/SMK/MA/Paket/C",62.42
11,"Prov. Nanggroe Aceh Darussalam",2010,"SMP/Mts/Paket/B",78.58
11,"Prov. Nanggroe Aceh Darussalam",2011,"SD/MI/Paket/A",92.57
11,"Prov. Nanggroe Aceh Darussalam",2011,"SM/SMK/MA/Paket/C",61.43
11,"Prov. Nanggroe Aceh Darussalam",2011,"SMP/Mts/Paket/B",74.76
11,"Prov. Nanggroe Aceh Darussalam",2012,"SD/MI/Paket/A",94.6
11,"Prov. Nanggroe Aceh Darussalam",2012,"SM/SMK/MA/Paket/C",61.71
11,"Prov. Nanggroe Aceh Darussalam",2012,"SMP/Mts/Paket/B",78.84
12,"Prov. Sumatera Utara",2003,"SD/MI",94.62
12,"Prov. Sumatera Utara",2003,"SM/MA",53.03
12,"Prov. Sumatera Utara",2003,"SMP/Mts",72.95
12,"Prov. Sumatera Utara",2004,"SD/MI",93.61
12,"Prov. Sumatera Utara",2004,"SM/MA",56.65
12,"Prov. Sumatera Utara",2004,"SMP/Mts",73.02
12,"Prov. Sumatera Utara",2005,"SD/MI",93.98
12,"Prov. Sumatera Utara",2005,"SM/MA",53.5
12,"Prov. Sumatera Utara",2005,"SMP/Mts",72.79
12,"Prov. Sumatera Utara",2006,"SD/MI",93.96
12,"Prov. Sumatera Utara",2006,"SM/MA",54.14
12,"Prov. Sumatera Utara",2006,"SMP/Mts",73.08
12,"Prov. Sumatera Utara",2007,"SD/MI/Paket/A",93.96
12,"Prov. Sumatera Utara",2007,"SM/SMK/MA/Paket/C",54.95
12,"Prov. Sumatera Utara",2007,"SMP/Mts/Paket/B",73.61
12,"Prov. Sumatera Utara",2008,"SD/MI/Paket/A",94.26
12,"Prov. Sumatera Utara",2008,"SM/SMK/MA/Paket/C",55.16
12,"Prov. Sumatera Utara",2008,"SMP/Mts/Paket/B",74.17
12,"Prov. Sumatera Utara",2009,"SD/MI/Paket/A",94.46
12,"Prov. Sumatera Utara",2009,"SM/SMK/MA/Paket/C",55.3
12,"Prov. Sumatera Utara",2009,"SMP/Mts/Paket/B",74.21
12,"Prov. Sumatera Utara",2010,"SD/MI/Paket/A",95.33
12,"Prov. Sumatera Utara",2010,"SM/SMK/MA/Paket/C",55.72
12,"Prov. Sumatera Utara",2010,"SMP/Mts/Paket/B",74.76
12,"Prov. Sumatera Utara",2011,"SD/MI/Paket/A",91.46
12,"Prov. Sumatera Utara",2011,"SM/SMK/MA/Paket/C",57.83
