nama_provinsi,kode_kabkota,nama_kabkota,koordinat_kabkota,tahun,angka_harapan_hidup,angka_melek_huruf,lama_sekolah,pengeluaran_perkapita,ipm
"Prov. Nanggroe Aceh Darussalam",1101,"Kab. Simeulue","2.62818,96.0898",2004,62.4,94.5,6.1,596.21,64.49205
"Prov. Nanggroe Aceh Darussalam",1102,"Kab. Aceh Singkil","2.439,97.9244",2004,63,96.222065,7.6729691,588.2,65.7562
"Prov. Nanggroe Aceh Darussalam",1103,"Kab. Aceh Selatan","3.25638,97.213",2004,65.5,95.662192,8.0914448,582.46,66.88849
"Prov. Nanggroe Aceh Darussalam",1104,"Kab. Aceh Tenggara","3.59968,97.6619",2004,68.6,96.036751,9.342572,580.19,69.445846
"Prov. Nanggroe Aceh Darussalam",1105,"Kab. Aceh Timur","4.56983,97.7723",2004,68.5,96.7,8.0577782,568.91,67.717058
"Prov. Nanggroe Aceh Darussalam",1106,"Kab. Aceh Tengah","4.56693,96.8147",2004,68.458619,97.050179,9.0193815,587.69,69.930848
"Prov. Nanggroe Aceh Darussalam",1107,"Kab. Aceh Barat","4.49032,96.041",2004,68.7,89.115994,8.1,575.44,66.677129
"Prov. Nanggroe Aceh Darussalam",1108,"Kab. Aceh Besar","5.35887,95.5144",2004,69.8,96.096353,9.3566007,586.3,70.606815
"Prov. Nanggroe Aceh Darussalam",1109,"Kab. Pidie","5.1152,95.9574",2004,68.2,93.855789,8.3,590.61,68.769364
"Prov. Nanggroe Aceh Darussalam",1110,"Kab. Bireuen","5.081,96.5974",2004,72.1,96.8,9.1,578.5,71.250034
"Prov. Nanggroe Aceh Darussalam",1111,"Kab. Aceh Utara","4.99764,97.1454",2004,68.944318,94.433039,8.9,575.35,68.580087
"Prov. Nanggroe Aceh Darussalam",1112,"Kab. Aceh Barat Daya","3.78325,96.9143",2004,65.170148,94.946103,7.2100103,582.26,65.877787
"Prov. Nanggroe Aceh Darussalam",1113,"Kab. Gayo Lues","3.97798,97.323",2004,65.9,85.472687,8.2998833,580.49,64.849024
"Prov. Nanggroe Aceh Darussalam",1114,"Kab. Aceh Tamiang","4.20756,98.0029",2004,67.197729,97.931448,8.0800773,568.71,67.26834
"Prov. Nanggroe Aceh Darussalam",1115,"Kab. Nagan Raya","4.15452,96.5184",2004,68.9,89.282906,6.332094,575.57,65.525786
"Prov. Nanggroe Aceh Darussalam",1116,"Kab. Aceh Jaya","4.8271,95.6491",2004,66.863694,89.625361,8.6427023,575.46,66.173694
"Prov. Nanggroe Aceh Darussalam",1117,"Kab. Bener Meriah","4.76923,96.9901",2004,65.8,96,7.8,575.1,66.347384
"Prov. Nanggroe Aceh Darussalam",1118,"Kab. Pidie Jaya","5.13828,96.2004",2004,,,,,
"Prov. Nanggroe Aceh Darussalam",1171,"Kota Banda Aceh","5.54215,95.3431",2004,68.6,98.8,11.2,614.04,74.043311
"Prov. Nanggroe Aceh Darussalam",1172,"Kota Sabang","5.83886,95.2953",2004,69.4,97.866808,9.4411807,607.81,72.49764
"Prov. Nanggroe Aceh Darussalam",1173,"Kota Langsa","4.48157,97.9214",2004,68.263387,96.555903,9.2256138,582.82,69.490165
"Prov. Nanggroe Aceh Darussalam",1174,"Kota Lhokseumawe","5.12941,97.0654",2004,68.263387,98.167229,9.6339017,617.31,72.80751
"Prov. Nanggroe Aceh Darussalam",1175,"Kota Subulussalam","2.65359,97.9101",2004,,,,,
"Prov. Sumatera Utara",1201,"Kab. Nias","1.12946,97.7191",2004,67.9,86.016514,5.9779402,589.37772,65.045667
"Prov. Sumatera Utara",1202,"Kab. Mandailing Natal","0.716284,99.4183",2004,62.5,98.055164,7.2613128,612.92287,67.485301
"Prov. Sumatera Utara",1203,"Kab. Tapanuli Selatan","1.52419,99.2215",2004,66.4,99.26227,8.7,612.75546,70.973012
"Prov. Sumatera Utara",1204,"Kab. Tapanuli Tengah","1.86878,98.6094",2004,66.777394,95.39504,7.8,595.94642,68.361789
"Prov. Sumatera Utara",1205,"Kab. Tapanuli Utara","2.0633,98.8284",2004,66.9,98.088864,8.6666758,612.15824,70.919344
