nama_provinsi,tingkat_pendidikan,jumlah_laki_laki,jumlah_perempuan,total,jumlah_penduduk,persen
Prov. Nanggroe Aceh Darussalam,Tidak/Belum Tamat SD,72732,95747,168479,2909351,0.057909479
Prov. Nanggroe Aceh Darussalam,Tamat SD,414738,450331,865069,2909351,0.297340885
Prov. Nanggroe Aceh Darussalam,Tamat SLTP,392380,369043,761423,2909351,0.261715757
Prov. Nanggroe Aceh Darussalam,Tamat SLTA,473624,387642,861266,2909351,0.29603372
Prov. Nanggroe Aceh Darussalam,Tamat PT,108466,144648,253114,2909351,0.087000159
Prov. Sumatera Utara,Tidak/Belum Tamat SD,257102,338706,595808,9043280,0.06588406
Prov. Sumatera Utara,Tamat SD,1184362,1329010,2513372,9043280,0.277927035
Prov. Sumatera Utara,Tamat SLTP,1215119,1136624,2351743,9043280,0.260054206
Prov. Sumatera Utara,Tamat SLTA,1560239,1420518,2980757,9043280,0.329610164
Prov. Sumatera Utara,Tamat PT,276921,324679,601600,9043280,0.066524535
Prov. Sumatera Barat,Tidak/Belum Tamat SD,162411,199830,362241,3189502,0.113572903
Prov. Sumatera Barat,Tamat SD,460973,459505,920478,3189502,0.288596151
Prov. Sumatera Barat,Tamat SLTP,377984,359107,737091,3189502,0.231099087
Prov. Sumatera Barat,Tamat SLTA,458468,446529,904997,3189502,0.283742415
Prov. Sumatera Barat,Tamat PT,107564,157131,264695,3189502,0.082989445
Prov. Riau,Tidak/Belum Tamat SD,113050,130858,243908,3595595,0.067835226
Prov. Riau,Tamat SD,589421,583545,1172966,3595595,0.326223059
Prov. Riau,Tamat SLTP,465396,413886,879282,3595595,0.244544227
Prov. Riau,Tamat SLTA,586025,467187,1053212,3595595,0.292917306
Prov. Riau,Tamat PT,114187,132040,246227,3595595,0.068480182
Prov. Jambi,,,,,,
